Reference,Sensor
9.8,7.3
10.1,7.3
10.6,8.6
11.2,9.3
11.7,9.9
11.8,10.5
11.5,8.7
11,8.2
10.4,6.9
6.2,5.4
5.5,4.2
4.7,3.8
4.7,3.8
4.7,3.1
4.6,3.8
5.1,4
5.4,4.1
6.5,5.1
6.6,5.1
6.4,5.4
6.8,5.1
8.9,7
10.2,7.3
3.9,3.5
2.9,3.7
3,3.5
3.4,4
3.7,3.3
4.4,5.1
4.3,4.7
4.1,4.5
4.4,4.7
3.6,3.7
2.6,2.7
3.2,3.2
2.3,2.8
1.6,2.6
1.2,2.6
1.8,3.3
1.8,3
1.8,3
2,2.5
2.5,3.4
3.1,3.7
3.3,3.7
4.1,3.9
4.5,3.9
3.8,4.1
3.2,3
3.4,3.4
3.4,3.5
2.2,3.4
2,3.4
2.7,4.4
3.5,4.6
3.5,4.4
3.3,4.6
3,3.7
2.7,3.3
2.9,3.1
3.6,4
2.6,2.9
1.8,3
1.5,2.5
2,3.3
3.1,4.6
3.9,4.4
3.5,4.3
3.3,4.7
3.3,4.8
4.2,5.4
4.3,4.9
5.2,6.8
7.5,9.7
8.4,10.7
10.2,12.9
11.1,13.9
12.1,15.5
13.3,16.3
14.1,16.2
12.5,16
5.4,7.1
6.6,8.1
5,6
4.1,4.8
3.9,4.2
3.1,3
4.7,5.3
5.9,6.9
3.9,3.7
2.6,3.8
3.2,4.1
3,3.9
3.6,4.7
4,4.8
5,5.7
5.3,7.2
4.4,6.2
3.2,4.6
3.1,5
3.8,4.8
4.3,5.7
4.8,7
4.3,5.1
4.8,6.3
5.3,6.2
5.2,5.5
5.2,5
5.5,5.9
5.4,5.1
7.8,8.3
11.1,10.7
13.5,12.6
7.6,7.7
6.5,7.1
6.7,8.2
8,10.8
8.6,10
7.4,8.1
7.1,8.4
7.4,8.1
8.1,10.5
8.6,9.7
9.3,10.5
9.7,11.1
9.9,11.6
13.4,16.2
12.3,14.7
13.1,14.4
12.6,12.2
12.8,11.3
13.3,11.2
13.5,11.1
13.9,11.7
14.7,11.7
11.9,9.7
8,7.1
8.5,7.2
9.1,8.1
8.7,8.1
8.9,7.5
9.7,8.1
10.4,9
10.8,10.5
9.8,9.4
8.6,7.8
8,8
7.9,8.1
8.1,7.5
7.9,8.1
7.9,7.8
8.6,7.2
7.2,5.9
6.4,5.6
9.9,8.1
11.2,9.8
10,8.6
9.3,8.3
8.7,7.5
8.2,8.3
8.1,7.1
6.6,6
4.2,4.5
3.8,4.3
5.2,5.6
6.3,5.6
7,6.5
8.2,7.4
8.3,7.9
8.7,8.4
9.2,8.5
9.4,8.1
9.4,9.1
9.8,9.4
10.2,9.8
10.2,9
9.1,8.3
9.6,8.7
8.8,7.4
8,7.1
8.2,7.7
8.3,7.1
9.1,7.5
9.5,7.8
8.1,7.3
9.1,8
9.8,7.5
11.4,9
13,9.4
13.9,10.8
15.8,14
15.6,12.5
14.8,12.8
14.9,13
15.1,13.2
14.8,13.2
14.1,13
13.2,10.9
13.7,11.5
13.6,12
13.2,11.6
12,9.7
12.2,9.9
12,9.7
12,9.2
11.7,10
13.4,11.1
14,10.7
12,8.7
5.3,4.2
3.7,3.4
3.6,3.7
4,3.2
4.8,3.8
5.6,4.5
5,3.8
5.1,4.5
4.9,5.2
5.2,5
5.5,4.9
5.5,5.4
6,6.1
7.1,7.1
8.3,8.1
8.7,7.7
8.5,7.1
7.4,6.3
7.2,6.2
6.6,5.5
6.4,5.8
5.7,5.7
5.9,5.8
6,4.8
6,5.4
5.7,4.9
6,5.3
6.3,5
7.2,6.2
7.5,5.3
6,4.2
5.1,4.4
5.1,4
5.2,4.2
5.2,4.1
5.2,4.4
5.9,4.2
6.4,4.4
6.1,4.4
6.2,4.9
6.9,4.8
7.3,6
7.4,5
7.2,5.4
6.4,4.2
5.7,4.2
4.8,3.9
4.3,3.3
4.2,3.4
4.4,3.6
4.4,3.2
5,3.8
6.3,4.7
6.6,5
7,4.4
6.2,5.2
6.1,4.4
6.3,4.9
6.4,5.3
6.7,5.1
7.3,5.7
7.7,6
8,5.7
8.5,5.9
7.9,5.6
6.8,4.4
5.4,4
4.5,4.1
3.7,3
3.5,3.2